61.8808	14.829	59.867	14.4423
246.0645	13.0905	241.8452	12.7938
60.1291	17.1574	58.1852	16.8789
227.3342	25.305	223.4193	25.0898
154.1207	36.6405	151.0141	36.2589
104.0242	38.9634	101.4619	38.6682
161.5759	43.2416	158.4763	42.8651
136.2239	50.3615	133.4777	50.0176
79.653	51.0974	78.1311	50.4695
71.3924	53.0916	69.3556	52.8226
185.048	54.0165	181.8331	53.4152
140.2905	57.6988	138.897	58.6969
145.2019	62.0815	142.5769	61.6556
79.9132	64.8134	77.8924	64.3179
68.7827	67.3532	66.9298	66.9827
200.1965	73.5009	196.9773	73.034
85.8514	85.111	83.844	84.9016
202.1089	85.7039	199.0382	85.2038
85.8514	85.111	83.9039	84.9734
207.4174	93.8285	204.4749	93.3915
34.0617	96.7548	32.6473	96.2656
119.7883	102.3316	117.6513	101.9375
24.8578	103.9612	23.5059	103.5791
86.5537	103.5274	84.6722	103.0847
157.9203	105.4875	155.4128	105.0707
188.4169	106.3574	185.6518	105.9802
127.4394	110.2184	125.3167	109.8835
26.5441	115.6841	25.3	115.2385
13.1688	119.384	11.9682	119.0557
43.0713	119.9744	41.8552	119.7254
185.1517	130.0699	182.7639	129.7716
80.1284	139.1732	78.4571	138.9824
144.942	139.2204	142.9441	138.9679
95.3238	142.6943	93.6889	142.3879
189.9252	143.5137	187.459	143.2173
123.6033	150.4031	121.8138	150.0858
178.9334	149.7186	176.6124	149.3786
202.8153	149.9352	200.2565	149.7093
229.7233	150.2156	227.0448	149.9173
56.9898	153.427	55.6091	153.2861
75.0205	152.9339	73.6336	152.7126
236.4297	161.5782	233.6653	161.4003
234.638	161.9352	232.1748	161.6895
162.6296	168.3866	160.7663	168.2976
199.7748	167.9025	197.3955	167.7842
245.6211	169.6034	243.079	169.3554
155.4276	172.6656	153.3243	172.8403
163.0945	176.3371	161.0945	175.548
70.4692	180.0899	69.3551	180.1174
199.4314	186.875	197.3403	186.3378
235.7797	187.4005	233.167	187.4366
124.1241	213.9827	122.9624	214.1249
124.0812	214.0191	122.8909	214.1815
199.2555	218.2145	197.7511	218.5025
216.5566	235.4459	214.9317	235.8219
87.7303	242.4718	87.0655	243.0476
