0	  61.88080	  14.82900	 148.96309	  -1.53464	   0.99195	   0.00449	   0.00003	  -0.00002	  -0.00001	  -1.03773	   0.01281	   1.00338	  -0.00005	  -0.00004	   0.00001
1	 246.06450	  13.09050	 174.61315	  -0.91202	   0.98240	   0.00628	   0.00004	   0.00001	  -0.00003	  -0.55812	   0.01017	   0.98741	   0.00001	  -0.00004	   0.00005
2	  60.12910	  17.15740	 147.59197	  -1.53464	   0.99195	   0.00449	   0.00003	  -0.00002	  -0.00001	  -1.03773	   0.01281	   1.00338	  -0.00005	  -0.00004	   0.00001
3	 227.33420	  25.30500	 153.60384	  -0.96273	   0.98492	   0.00241	   0.00004	   0.00000	  -0.00001	  -0.37966	   0.00602	   0.99157	   0.00000	  -0.00002	   0.00004
4	 154.12070	  36.64050	 115.76842	  -1.47084	   0.99146	   0.00237	   0.00004	  -0.00001	  -0.00001	  -0.74757	   0.00929	   0.99723	  -0.00002	  -0.00003	   0.00003
5	 104.02420	  38.96340	 109.03775	  -1.51059	   0.99137	   0.00485	   0.00003	  -0.00002	  -0.00002	  -0.82837	   0.00918	   1.00152	  -0.00002	  -0.00003	   0.00000
6	 161.57590	  43.24160	 107.88250	  -1.47084	   0.99146	   0.00237	   0.00004	  -0.00001	  -0.00001	  -0.74757	   0.00929	   0.99723	  -0.00002	  -0.00003	   0.00003
7	 136.22390	  50.36150	 105.04391	  -1.51034	   0.99288	   0.00100	   0.00005	  -0.00002	  -0.00000	  -0.78430	   0.00922	   0.99896	  -0.00002	  -0.00003	   0.00002
8	  79.65300	  51.09740	 108.59674	  -1.53464	   0.99195	   0.00449	   0.00003	  -0.00002	  -0.00001	  -1.03773	   0.01281	   1.00338	  -0.00005	  -0.00004	   0.00001
9	  71.39240	  53.09160	 113.25950	  -1.44609	   0.99013	   0.00381	   0.00003	  -0.00001	  -0.00001	  -0.82466	   0.00830	   1.00184	  -0.00004	  -0.00002	   0.00001
10	 185.04800	  54.01650	 114.30585	  -1.40660	   0.99086	   0.00184	   0.00004	  -0.00001	  -0.00000	  -0.40803	   0.00548	   0.99419	   0.00000	  -0.00002	   0.00003
